TRNYEAR,TRNMONTH,TRNDAY,CNT
2018,10,3,343
2018,10,2,412
2018,10,1,276
2018,9,30,46
2018,9,29,86
2018,9,28,730
2018,9,27,385
2018,9,26,481
2018,9,25,431
2018,9,24,416
2018,9,23,26
2018,9,22,109
2018,9,21,397
2018,9,20,478
2018,9,19,452
2018,9,18,353
2018,9,17,371
2018,9,16,59
2018,9,15,64
2018,9,14,362
2018,9,13,530
2018,9,12,363
2018,9,11,414
2018,9,10,438
2018,9,9,48
2018,9,8,162
2018,9,7,472
2018,9,6,421
2018,9,5,320
2018,9,4,307
2018,9,3,187
2018,9,2,104
2018,9,1,156
2018,8,31,575
2018,8,30,461
2018,8,29,421
2018,8,28,343
2018,8,27,480
2018,8,26,37
2018,8,25,117
2018,8,24,435
2018,8,23,418
2018,8,22,387
2018,8,21,416
2018,8,20,429
2018,8,19,127
2018,8,18,174
2018,8,17,535
2018,8,16,439
2018,8,15,409
2018,8,14,433
2018,8,13,358
2018,8,12,49
2018,8,11,123
2018,8,10,400
2018,8,9,447
2018,8,8,459
2018,8,7,466
2018,8,6,362
2018,8,5,31
2018,8,4,91
2018,8,3,479
2018,8,2,469
2018,8,1,362
2018,7,31,649
2018,7,30,393
2018,7,29,44
2018,7,28,127
2018,7,27,521
2018,7,26,491
2018,7,25,457
2018,7,24,447
2018,7,23,289
2018,7,22,18
2018,7,21,91
2018,7,20,487
2018,7,19,494
2018,7,18,413
2018,7,17,388
2018,7,16,413
2018,7,15,48
2018,7,14,92
2018,7,13,526
2018,7,12,430
2018,7,11,470
2018,7,10,465
2018,7,9,456
2018,7,8,49
2018,7,7,91
2018,7,6,506
2018,7,5,349
2018,7,3,524
2018,7,2,399
2018,7,1,59
2018,6,30,141
2018,6,29,798
2018,6,28,236
2018,6,27,395
2018,6,26,513
2018,6,25,418
2018,6,24,46
2018,6,23,114
2018,6,22,508
2018,6,21,527
2018,6,20,366
2018,6,19,439
2018,6,18,374
2018,6,17,42
2018,6,16,99
2018,6,15,615
2018,6,14,407
2018,6,13,531
2018,6,12,487
2018,6,11,399
2018,6,10,53
2018,6,9,117
2018,6,8,642
2018,6,7,427
2018,6,6,660
2018,6,5,490
2018,6,4,385
2018,6,3,45
2018,6,2,114
2018,6,1,426
2018,5,31,484
2018,5,30,469
2018,5,29,435
2018,5,28,125
2018,5,27,64
2018,5,26,163
2018,5,25,634
2018,5,24,532
2018,5,23,434
2018,5,22,440
2018,5,21,336
2018,5,20,75
2018,5,19,118
2018,5,18,425
2018,5,17,552
2018,5,16,478
2018,5,15,456
2018,5,14,566
2018,5,13,39
2018,5,12,131
2018,5,11,702
2018,5,10,533
2018,5,9,428
2018,5,8,366
2018,5,7,429
2018,5,6,50
2018,5,5,86
2018,5,4,389
2018,5,3,345
2018,5,2,341
2018,5,1,358
2018,4,30,581
2018,4,29,186
2018,4,28,110
2018,4,27,574
2018,4,26,488
2018,4,25,514
2018,4,24,795
2018,4,23,355
2018,4,22,52
2018,4,21,154
2018,4,20,837
2018,4,19,382
2018,4,18,402
2018,4,17,387
2018,4,16,212
2018,4,15,45
2018,4,14,93
2018,4,13,495
2018,4,12,289
2018,4,11,437
2018,4,10,359
2018,4,9,292
2018,4,8,44
2018,4,7,100
2018,4,6,296
2018,4,5,224
2018,4,4,330
2018,4,3,360
2018,4,2,291
2018,3,31,106
2018,3,30,410
2018,3,29,382
2018,3,28,444
2018,3,27,291
2018,3,26,391
2018,3,25,29
2018,3,24,113
2018,3,23,294
2018,3,22,460
2018,3,21,366
2018,3,20,297
2018,3,19,379
2018,3,18,39
2018,3,17,86
2018,3,16,386
2018,3,15,296
2018,3,14,460
2018,3,13,353
2018,3,12,416
2018,3,11,48
2018,3,10,95
2018,3,9,357
2018,3,8,264
2018,3,7,391
